code,name
N06B,精神兴奋药，用于治疗注意力缺陷多动症药和益智药
N06C,精神安定药和精神兴奋药的复方
N06D,抗痴呆药
N07A,拟副交感神经药物
N07B,用于病态成瘾的药物
N07C,抗眩晕药
N07X,其它神经系统用药
P01A,抗阿米巴病和其它原虫病用药
P01B,抗疟药
P01C,抗利什曼病和锥虫病药物
P02B,抗吸虫药
P02C,抗线虫药
P02D,抗绦虫药
P03A,抗体外寄生虫药（含杀疥螨药）
P03B,杀虫药和驱虫药
R01A,减充血药和其它鼻腔局部用药
R01B,系统用鼻腔减充血药
R02A,咽喉用药
R03A,肾上腺素能药，吸入剂
R03B,其它阻塞性气管病药，吸入剂
R03C,系统用肾上腺素能药
R03D,其它阻塞性气管病系统用药
R05C,祛痰药，与止咳药的复方除外
R05D,止咳药，与祛痰药的复方除外
R05F,止咳药和祛痰药的复方
R05X,其它感冒用药
R06A,系统用抗组胺药
R07A,其它呼吸系统用药
S01A,抗感染药
S01B,抗炎药
S01C,抗炎药和抗感染药复方
S01E,抗青光眼药和缩瞳药
S01F,散瞳药和睫状肌麻痹药
S01G,减充血药和抗变态反应药
S01H,局部麻醉药
S01J,诊断用药
S01K,手术辅料
S01L,眼部血管病变治疗药
S01X,其它眼科用药
S02A,抗感染药
S02B,皮质类固醇
S02C,皮质类固醇与抗感染药的复方
S02D,其它耳科用药
S03A,抗感染药
S03B,皮质类固醇
S03C,皮质类固醇与抗感染药的复方
S03D,其它眼和耳科药物
V01A,过敏原
V03A,其它各种治疗用药品
V04B,尿检测
V04C,其它诊断用药
V06A,治疗肥胖症的食谱
V06B,蛋白质补充
V06C,婴儿营养配方
V06D,其它营养
V07A,其它所有的非治疗用品
V08A,X射线造影剂，碘化剂
V08B,非碘化物的X射线造影剂
V08C,磁共振成像造影剂
V08D,超声造影剂
V09A,中枢神经系统
V09B,骨骼
V09C,肾脏系统
V09D,肝脏和网状内皮系统
V09E,呼吸系统用药
V09F,甲状腺
V09G,心血管系统用药
V09H,炎症和感染检测
V09I,肿瘤检测
V09X,其它诊断用放射性药物
V10A,抗炎药
V10B,缓解疼痛(骨探查剂)
V10X,其它治疗用放射性药物
